id_venda,data_venda,modelo,categoria,preco_venda,custo,lucro,canal_venda,campanha
1,2024-01-01 10:40:07,X-500,SUV,194212.92,138108.11,56104.8,Online,
2,2024-01-01 13:01:47,E-2,Elétrico,339834.63,258364.29,81470.34,Online,
3,2024-01-01 15:17:15,S-400,Sedan,137063.12,110602.28,26460.84,Showroom,
4,2024-01-01 17:14:08,X-500,SUV,173669.91,126334.54,47335.37,Showroom,
5,2024-01-01 15:47:06,X-700,SUV,243195.22,188123.94,55071.28,Showroom,
6,2024-01-02 15:43:47,X-500,SUV,170806.03,134344.89,36461.14,Online,
7,2024-01-02 14:57:34,X-500,SUV,187402.9,130055.58,57347.32,Parceiros,
8,2024-01-02 18:05:37,S-600,Sedan,202186.38,153967.92,48218.46,Showroom,
9,2024-01-02 14:27:02,X-500,SUV,178959.17,133780.53,45178.64,Showroom,
10,2024-01-02 15:01:05,S-400,Sedan,139899.91,109528.0,30371.91,Online,
11,2024-01-03 16:13:14,X-700,SUV,257276.53,192493.59,64782.95,Showroom,
12,2024-01-03 17:32:38,P-800,Pickup,210768.61,163469.4,47299.21,Showroom,
13,2024-01-03 14:01:35,H-300,Hatch,118933.61,88891.97,30041.64,Showroom,
14,2024-01-03 12:12:45,H-100,Hatch,89675.95,69532.15,20143.8,Online,
15,2024-01-04 15:41:44,X-500,SUV,167231.25,139222.09,28009.15,Showroom,
16,2024-01-04 13:34:26,E-1,Elétrico,322168.41,221501.68,100666.73,Showroom,
17,2024-01-04 18:14:28,X-500,SUV,184513.03,139690.66,44822.38,Showroom,
18,2024-01-04 17:37:17,P-800,Pickup,221067.85,169794.79,51273.06,Showroom,
19,2024-01-04 15:51:55,P-900,Pickup,276407.18,207682.7,68724.48,Showroom,
20,2024-01-04 14:00:48,P-800,Pickup,220056.25,163838.79,56217.45,Online,
21,2024-01-04 14:51:10,X-700,SUV,255661.7,186565.91,69095.8,Showroom,
22,2024-01-05 11:44:27,S-400,Sedan,150451.73,120813.44,29638.28,Showroom,Férias de Verão
23,2024-01-05 15:21:17,S-400,Sedan,145689.68,111077.44,34612.24,Parceiros,Férias de Verão
24,2024-01-05 13:09:13,E-2,Elétrico,369999.4,268421.47,101577.93,Showroom,Férias de Verão
25,2024-01-05 15:48:21,H-100,Hatch,96323.42,70319.46,26003.96,Showroom,Férias de Verão
26,2024-01-05 10:06:05,X-500,SUV,171085.17,132706.49,38378.68,Online,Férias de Verão
27,2024-01-05 13:24:06,S-600,Sedan,200091.44,148355.07,51736.37,Online,Férias de Verão
28,2024-01-05 18:22:54,H-300,Hatch,114483.45,94184.82,20298.63,Showroom,Férias de Verão
29,2024-01-05 16:22:38,X-500,SUV,176789.29,137252.29,39537.0,Showroom,Férias de Verão
30,2024-01-05 11:16:51,P-800,Pickup,202317.68,165913.94,36403.75,Showroom,Férias de Verão
31,2024-01-05 14:02:46,P-900,Pickup,259839.42,217501.58,42337.84,Parceiros,Férias de Verão
32,2024-01-05 16:29:34,H-100,Hatch,91127.22,68201.56,22925.66,Online,Férias de Verão
33,2024-01-05 09:07:59,X-500,SUV,182036.59,138431.98,43604.62,Showroom,Férias de Verão
34,2024-01-05 16:24:05,X-500,SUV,196791.97,136919.02,59872.95,Online,Férias de Verão
35,2024-01-05 16:35:18,X-700,SUV,240610.26,181141.34,59468.91,Online,Férias de Verão
36,2024-01-05 11:53:40,H-300,Hatch,124932.36,95121.34,29811.02,Online,Férias de Verão
37,2024-01-05 16:39:56,S-400,Sedan,156590.05,111691.37,44898.68,Showroom,Férias de Verão
38,2024-01-06 19:55:23,X-500,SUV,178882.81,137998.38,40884.43,Online,Férias de Verão
39,2024-01-06 17:36:12,E-2,Elétrico,335181.11,250570.58,84610.53,Online,Férias de Verão
40,2024-01-06 16:45:04,S-400,Sedan,155325.82,112812.12,42513.7,Showroom,Férias de Verão
41,2024-01-06 18:02:42,S-600,Sedan,200582.09,144856.63,55725.45,Showroom,Férias de Verão
42,2024-01-06 14:14:49,H-100,Hatch,85684.46,70298.56,15385.9,Online,Férias de Verão
43,2024-01-06 17:18:05,P-800,Pickup,225665.52,184071.02,41594.5,Online,Férias de Verão
44,2024-01-06 14:54:14,H-300,Hatch,121393.78,90475.69,30918.09,Online,Férias de Verão
45,2024-01-06 15:55:06,S-400,Sedan,146359.77,112776.33,33583.45,Showroom,Férias de Verão
46,2024-01-06 10:24:17,S-600,Sedan,195854.68,150360.89,45493.79,Showroom,Férias de Verão
47,2024-01-06 16:29:40,P-800,Pickup,220707.08,159665.16,61041.92,Showroom,Férias de Verão
48,2024-01-06 16:53:23,X-700,SUV,279862.95,197869.2,81993.75,Online,Férias de Verão
49,2024-01-06 17:10:23,H-100,Hatch,80886.86,67877.57,13009.29,Parceiros,Férias de Verão
50,2024-01-06 13:22:13,S-400,Sedan,144211.36,118106.89,26104.46,Showroom,Férias de Verão
51,2024-01-06 16:42:17,X-700,SUV,272068.18,189778.02,82290.16,Showroom,Férias de Verão
52,2024-01-07 11:44:59,P-800,Pickup,217388.69,174266.43,43122.26,Showroom,Férias de Verão
53,2024-01-07 14:43:41,S-600,Sedan,197474.32,144384.98,53089.34,Showroom,Férias de Verão
54,2024-01-07 16:04:38,H-300,Hatch,119229.53,88742.71,30486.82,Online,Férias de Verão
55,2024-01-07 11:40:10,S-600,Sedan,190184.91,152079.47,38105.45,Online,Férias de Verão
56,2024-01-07 15:34:46,H-300,Hatch,123882.98,90340.46,33542.52,Showroom,Férias de Verão
57,2024-01-07 19:15:10,S-400,Sedan,165997.75,105911.7,60086.05,Online,Férias de Verão
58,2024-01-07 14:29:24,S-400,Sedan,146351.75,113200.64,33151.11,Parceiros,Férias de Verão
59,2024-01-07 12:17:59,P-800,Pickup,213516.99,169205.53,44311.46,Showroom,Férias de Verão
60,2024-01-07 17:40:44,H-300,Hatch,122172.08,91569.55,30602.54,Online,Férias de Verão
61,2024-01-07 20:35:14,S-400,Sedan,155604.7,114560.0,41044.7,Showroom,Férias de Verão
62,2024-01-07 18:43:20,S-400,Sedan,144980.98,116421.54,28559.44,Showroom,Férias de Verão
63,2024-01-07 12:53:49,P-900,Pickup,291555.83,215125.11,76430.72,Showroom,Férias de Verão
64,2024-01-07 18:49:03,E-1,Elétrico,292152.18,231406.72,60745.46,Showroom,Férias de Verão
65,2024-01-07 19:14:52,S-400,Sedan,152431.25,112060.77,40370.48,Showroom,Férias de Verão
66,2024-01-07 14:02:51,S-600,Sedan,182079.55,147989.52,34090.03,Online,Férias de Verão
67,2024-01-07 11:20:25,H-300,Hatch,123744.72,91696.53,32048.19,Online,Férias de Verão
68,2024-01-07 18:17:04,S-600,Sedan,179099.82,157966.94,21132.88,Showroom,Férias de Verão
69,2024-01-07 15:13:58,S-400,Sedan,153096.99,110597.43,42499.56,Showroom,Férias de Verão
70,2024-01-08 11:36:56,X-500,SUV,175760.66,135939.8,39820.85,Online,Férias de Verão
71,2024-01-08 19:45:20,E-2,Elétrico,370201.2,258740.62,111460.58,Showroom,Férias de Verão
72,2024-01-08 17:13:41,E-2,Elétrico,337427.23,260819.1,76608.12,Online,Férias de Verão
73,2024-01-09 15:31:25,S-600,Sedan,212711.38,153468.88,59242.5,Showroom,Férias de Verão
74,2024-01-09 13:56:58,E-2,Elétrico,362077.52,259340.39,102737.13,Showroom,Férias de Verão
75,2024-01-09 20:41:29,E-2,Elétrico,351218.92,270245.1,80973.83,Showroom,Férias de Verão
76,2024-01-09 16:09:16,X-500,SUV,180220.59,137016.89,43203.7,Showroom,Férias de Verão
77,2024-01-09 18:08:15,H-300,Hatch,127202.47,94903.44,32299.03,Showroom,Férias de Verão
78,2024-01-09 14:47:35,X-500,SUV,199708.23,131726.39,67981.83,Showroom,Férias de Verão
79,2024-01-09 11:34:16,X-700,SUV,262907.51,177318.01,85589.49,Showroom,Férias de Verão
80,2024-01-09 14:47:37,E-2,Elétrico,355980.73,277274.85,78705.88,Parceiros,Férias de Verão
81,2024-01-09 14:27:57,P-800,Pickup,228161.59,172309.46,55852.13,Online,Férias de Verão
82,2024-01-10 19:37:25,S-400,Sedan,137151.49,117069.32,20082.17,Online,Férias de Verão
83,2024-01-10 14:23:14,P-800,Pickup,193025.09,160538.6,32486.49,Online,Férias de Verão
84,2024-01-10 16:08:32,X-500,SUV,180047.19,135190.27,44856.92,Online,Férias de Verão
85,2024-01-10 12:31:05,E-1,Elétrico,295304.64,214205.92,81098.73,Online,Férias de Verão
86,2024-01-10 15:48:03,E-2,Elétrico,362453.26,253643.44,108809.82,Online,Férias de Verão
87,2024-01-11 14:55:07,P-900,Pickup,294372.12,211046.36,83325.76,Showroom,Férias de Verão
88,2024-01-11 16:09:40,X-500,SUV,185808.38,140542.96,45265.43,Showroom,Férias de Verão
89,2024-01-11 15:10:50,X-700,SUV,228364.09,195624.41,32739.68,Showroom,Férias de Verão
90,2024-01-11 14:43:27,E-1,Elétrico,322535.36,225500.14,97035.22,Showroom,Férias de Verão
91,2024-01-11 13:38:04,H-300,Hatch,119911.69,92150.29,27761.4,Online,Férias de Verão
92,2024-01-11 16:24:24,S-600,Sedan,179325.58,149598.96,29726.62,Parceiros,Férias de Verão
93,2024-01-11 14:38:29,X-700,SUV,236234.35,190243.16,45991.19,Showroom,Férias de Verão
